2014-07-09 21:01:06 ==> An error occurred at D:\php\htdocs\app\s\class\curl.class.php on line 61 ERROR(2):  Invalid argument supplied for foreach()
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/js.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/action.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/action.php does not exists
2014-07-09 21:08:30 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:36 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:41 ==> 404 - Request Page Not Found ! ERROR(404):  Error action name ! 
2014-07-09 21:08:42 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/action.php does not exists
2014-07-09 21:08:42 ==> 404 - Request Page Not Found ! ERROR(404):  the controller file D:\php\htdocs/app/c/action.php does not exists
2014-07-09 21:58:46 ==> An error occurred at D:\php\htdocs\app\s\class\curl.class.php on line 153 ERROR(8):  Undefined offset: 1
